name,id,genres,popularity,followers,wikipedia_name,country
Abderrahmane Abdelli,3TlJB7TJ85bysf83Y7bhhe,,0,32,Abderrahmane Abdelli,Algeria
Amar Ezzahi,2tCdo4TZ9Fz8eidDpdhlBl,algerian folk|chaabi algerien,29,29689,Amar Ezzahi,Algeria
bellemou messaoud,6k006zj8Ps1F8nf5A3TH3h,,0,0,Bellemou Messaoud,Algeria
Boualem Boukacem,0jv7jeWEvp8bGOVR6Ayvs1,,0,30,Boualem Boukacem,Algeria
Cheb Mami,6vZXamchcIOKzC1c3Elp4J,rai|reggae maghreb,53,592596,Cheb Mami,Algeria
Cheikha Rimitti,364dHqe2BwXqmOhgdBXpw8,algerian folk|rai,29,109227,Cheikha Rimitti,Algeria
DJ Snake,540vIaP2JwjQb9dm3aArA4,edm|electronic trap|pop|pop dance,78,8519328,DJ Snake,Algeria
Dahmane El Harrachi,0WtlXlCzfp2mJyINCsf1tb,algerian folk|belly dance|chaabi algerien|rai,36,103533,Dahmane El Harrachi,Algeria
El Hachemi Guerouabi,4sgdpsrVemff9aGDauF4J4,algerian folk|chaabi algerien|rai,33,39426,El Hachemi Guerouabi,Algeria
Fadhéla Dziria,0emJwpX3bw8is3DCRvV071,,0,4,Fadhéla Dziria,Algeria
Hamdi Benani,03abIyN4nwMjJqoXFTp1ZP,andalusian classical|chaabi algerien,7,1878,Hamdi Benani,Algeria
Houari Manar,3ra4NNbJbfJjY1gMculBXc,deep rai|rai,28,122880,Houari Manar,Algeria
Idir,73LjFn4z6WTV7MevyPxrRc,kabyle,43,129230,Idir,Algeria
Kamel Messaoudi,7yLOExurLKWUlj520esuAt,chaabi algerien|kabyle,32,41157,Kamel Messaoudi,Algeria
Rachid Taha,2URqJkDiySO0FRiAUq75FV,belly dance|classic arab pop,47,157845,Rachid Taha,Algeria
Souad Massi,0oXFsuB6XBuDTsXJgplR7k,arab alternative|classic arab pop,43,145574,Souad Massi,Algeria
Speed Caravan,1OTKiwBZfIsf8yHiiqjJkn,arab alternative|world fusion,7,1883,Speed Caravan,Algeria
Zaho,0vN920jukdAbErvjo2OJ2o,francoton|french pop,60,516114,Zaho,Algeria
Anselmo Ralph,1ts2oIXKCpWSRFnR78bulp,kizomba|musica angolana|portuguese pop|semba,50,271551,Anselmo Ralph,Angola
Army Squad,1YcKEhh64Kd4yA5RNIEdfg,,1,544,Army Squad,Angola
Bonga,0I6bdBR4Q7uoc3HI1OgI8C,afropop|semba,48,91555,Bonga,Angola
Buraka Som Sistema,6zUiRChNyL3HEezOd1Wjam,batida|kuduro antigo,38,84904,Buraka Som Sistema,Angola
Diamondog,5ccI7NDmwImlMvrt2MKNYh,,0,86,Diamondog,Angola
Dog Murras,5yLebnsC6CZ5jkxkP08py5,kizomba|kuduro antigo|musica angolana|semba,15,4246,Dog Murras,Angola
Don Kikas,4mgUfMSN3ZcadycYr07UJz,kizomba|kizomba antigas|musica angolana|semba,28,26842,Don Kikas,Angola
Neblina,5k03Uokr2zWNt3IFdKHnyf,african rock,32,1322,Neblina,Angola
Neide Van-Dúnem,4k25KvG6xPAWXiQBRSW6K2,,0,4,Neide Van-Dúnem,Angola
Paulo Flores,13y1zLuj38wQ2HtSSMa13M,kizomba antigas|musica angolana|semba,35,46374,Paulo Flores,Angola
Sam Mangwana,2p7l0MAzxkEwRHgtCcLVFB,marrabenta|soukous|zilizopendwa,28,28271,Sam Mangwana,Angola
Teta Lando,73WKmVyZVoX6HEonRILp0b,musica angolana|semba,20,8156,Teta Lando,Angola
Titica,2uOdrNlbkp8umXVeHU5F2s,,29,13393,Titica,Angola
Waldemar Bastos,4dkRAEhPMg16cSooMBSc7h,semba,27,7190,Waldemar Bastos,Angola
Angelique Kidjo,51qUDJb5AtQX6jIL4VJx6M,afropop|beninese pop|world,53,115111,Angelique Kidjo,Benin
Wally Badarou,7EjJWbZz0wsaAAt5zN0DOL,,13,4297,Wally Badarou,Benin
Banjo Mosele,5xJ9ywWcQ0juprg5TukUZS,,0,20,Banjo Mosele,Botswana
Joe Morris,6DLquZA1fNLT5aw9o1xPV7,free jazz|modern free jazz,7,841,Joe Morris,Botswana
Matsieng,19fq4LKab29v7cpfIElbKZ,botswana traditional,21,5548,Matsieng,Botswana
Cheikh Lô,6CFWXwqEBUi0UFoIIxmg9h,afropop|mbalax|world,37,55721,Cheikh Lô,Burkina Faso
Kebby Boy,318IjQBgCkhEXJPgd6nv0S,,0,28,Kebby Boy,Burundi
Khadja Nin,64X9DGiFHjK6Xn0ebXRNwy,burundian pop,29,12609,Khadja Nin,Burundi
Miss Erica,7qmCInALgViW2xSQI0xgDb,,0,0,Miss Erica,Burundi
Blanche Bailly,5AarOoNQR7sJVijD42GeFQ,azontobeats|cameroonian pop,28,27017,Blanche Bailly,Cameroon
Charlotte Dipanda,3qt4OYC2CeOuVjKtzGMobL,azontobeats|cameroonian pop|makossa,35,45781,Charlotte Dipanda,Cameroon
Coco Mbassi,6WEoVnikxs4Gm162L9nHjl,makossa,10,1236,Coco Mbassi,Cameroon
Francis Bebey,0mdmrbu5UZ32uRcRp2z6mr,afrobeat|afropop|world,31,48706,Francis Bebey,Cameroon
Kristo Numpuby,3he3EmnZUGDmdfvYvPXCcY,,1,143,Kristo Numpuby,Cameroon
Lady Ponce,4WF183Kl7QhmBH35vvQnzM,azontobeats|bikutsi|cameroonian pop|makossa,26,25908,Lady Ponce,Cameroon
Lapiro De Mbanga,5iyy4ghLfTZhWYtAZirwVT,makossa,17,9010,Lapiro de Mbanga,Cameroon
Magasco,19MUAFeICSgiIHN7C452LD,azontobeats|cameroonian pop,31,26582,Magasco,Cameroon
