country,collaboration_count,single_artist_count,collaboration_proportion,single_artist_proportion
Swaziland,29,10,0.7435897435897436,0.2564102564102564
South Sudan,38,29,0.5671641791044776,0.43283582089552236
Tanzania,148,149,0.4983164983164983,0.5016835016835017
Benin,30,40,0.42857142857142855,0.5714285714285714
Nigeria,1724,2926,0.370752688172043,0.629247311827957
Ghana,732,1275,0.36472346786248133,0.6352765321375187
Kenya,263,511,0.3397932816537468,0.6602067183462532
Democratic Republic of the Congo,527,1148,0.3146268656716418,0.6853731343283582
Cape Verde,13,32,0.28888888888888886,0.7111111111111111
Mali,165,420,0.28205128205128205,0.717948717948718
Zambia,48,132,0.26666666666666666,0.7333333333333333
Angola,120,352,0.2542372881355932,0.7457627118644068
Somalia,17,50,0.2537313432835821,0.746268656716418
Senegal,65,195,0.25,0.75
Mozambique,37,114,0.24503311258278146,0.7549668874172185
Liberia,47,145,0.24479166666666666,0.7552083333333334
South Africa,1555,4884,0.24149712688305638,0.7585028731169436
Côte d'Ivoire,63,208,0.23247232472324722,0.7675276752767528
Burundi,15,50,0.23076923076923078,0.7692307692307693
Tunisia,11,37,0.22916666666666666,0.7708333333333334
Zimbabwe,293,989,0.22854914196567863,0.7714508580343213
Cameroon,153,539,0.22109826589595374,0.7789017341040463
Rwanda,13,46,0.22033898305084745,0.7796610169491526
Madagascar,52,188,0.21666666666666667,0.7833333333333333
Uganda,260,966,0.21207177814029363,0.7879282218597063
Gambia,10,38,0.20833333333333334,0.7916666666666666
Algeria,125,506,0.19809825673534073,0.8019017432646592
Burkina Faso,8,38,0.17391304347826086,0.8260869565217391
Niger,8,43,0.1568627450980392,0.8431372549019608
Mauritania,14,77,0.15384615384615385,0.8461538461538461
Morocco,22,123,0.15172413793103448,0.8482758620689655
Ethiopia,89,530,0.14378029079159935,0.8562197092084006
Republic of the Congo,26,170,0.1326530612244898,0.8673469387755102
Guinea,18,159,0.1016949152542373,0.8983050847457628
Egypt,47,529,0.08159722222222222,0.9184027777777778
Botswana,4,49,0.07547169811320754,0.9245283018867925
Gabon,3,82,0.03529411764705882,0.9647058823529412
Sierra Leone,2,56,0.034482758620689655,0.9655172413793104
Sudan,1,38,0.02564102564102564,0.9743589743589743
Togo,2,81,0.024096385542168676,0.9759036144578314
Guinea-Bissau,1,43,0.022727272727272728,0.9772727272727273
Eritrea,0,46,0,1
